customer_id,customer_number,first_name,last_name,email,created_at,updated_at
1,CUST-00000001,First00000001,Last00000001,customer00000001@example.com,2026-08-01T00:00:01+00:00,2026-08-01T00:00:01+00:00
2,CUST-00000002,First00000002,Last00000002,customer00000002@example.com,2026-08-01T00:00:02+00:00,2026-08-01T00:00:02+00:00
3,CUST-00000003,First00000003,Last00000003,customer00000003@example.com,2026-08-01T00:00:03+00:00,2026-08-01T00:00:03+00:00
4,CUST-00000004,First00000004,Last00000004,customer00000004@example.com,2026-08-01T00:00:04+00:00,2026-08-01T00:00:04+00:00
5,CUST-00000005,First00000005,Last00000005,customer00000005@example.com,2026-08-01T00:00:05+00:00,2026-08-01T00:00:05+00:00
6,CUST-00000006,First00000006,Last00000006,customer00000006@example.com,2026-08-01T00:00:06+00:00,2026-08-01T00:00:06+00:00
7,CUST-00000007,First00000007,Last00000007,customer00000007@example.com,2026-08-01T00:00:07+00:00,2026-08-01T00:00:07+00:00
8,CUST-00000008,First00000008,Last00000008,customer00000008@example.com,2026-08-01T00:00:08+00:00,2026-08-01T00:00:08+00:00
9,CUST-00000009,First00000009,Last00000009,customer00000009@example.com,2026-08-01T00:00:09+00:00,2026-08-01T00:00:09+00:00
10,CUST-00000010,First00000010,Last00000010,customer00000010@example.com,2026-08-01T00:00:10+00:00,2026-08-01T00:00:10+00:00
11,CUST-00000011,First00000011,Last00000011,customer00000011@example.com,2026-08-01T00:00:11+00:00,2026-08-01T00:00:11+00:00
12,CUST-00000012,First00000012,Last00000012,customer00000012@example.com,2026-08-01T00:00:12+00:00,2026-08-01T00:00:12+00:00
13,CUST-00000013,First00000013,Last00000013,customer00000013@example.com,2026-08-01T00:00:13+00:00,2026-08-01T00:00:13+00:00
14,CUST-00000014,First00000014,Last00000014,customer00000014@example.com,2026-08-01T00:00:14+00:00,2026-08-01T00:00:14+00:00
15,CUST-00000015,First00000015,Last00000015,customer00000015@example.com,2026-08-01T00:00:15+00:00,2026-08-01T00:00:15+00:00
16,CUST-00000016,First00000016,Last00000016,customer00000016@example.com,2026-08-01T00:00:16+00:00,2026-08-01T00:00:16+00:00
17,CUST-00000017,First00000017,Last00000017,customer00000017@example.com,2026-08-01T00:00:17+00:00,2026-08-01T00:00:17+00:00
18,CUST-00000018,First00000018,Last00000018,customer00000018@example.com,2026-08-01T00:00:18+00:00,2026-08-01T00:00:18+00:00
19,CUST-00000019,First00000019,Last00000019,customer00000019@example.com,2026-08-01T00:00:19+00:00,2026-08-01T00:00:19+00:00
20,CUST-00000020,First00000020,Last00000020,customer00000020@example.com,2026-08-01T00:00:20+00:00,2026-08-01T00:00:20+00:00
21,CUST-00000021,First00000021,Last00000021,customer00000021@example.com,2026-08-01T00:00:21+00:00,2026-08-01T00:00:21+00:00
22,CUST-00000022,First00000022,Last00000022,customer00000022@example.com,2026-08-01T00:00:22+00:00,2026-08-01T00:00:22+00:00
23,CUST-00000023,First00000023,Last00000023,customer00000023@example.com,2026-08-01T00:00:23+00:00,2026-08-01T00:00:23+00:00
24,CUST-00000024,First00000024,Last00000024,customer00000024@example.com,2026-08-01T00:00:24+00:00,2026-08-01T00:00:24+00:00
25,CUST-00000025,First00000025,Last00000025,customer00000025@example.com,2026-08-01T00:00:25+00:00,2026-08-01T00:00:25+00:00
26,CUST-00000026,First00000026,Last00000026,customer00000026@example.com,2026-08-01T00:00:26+00:00,2026-08-01T00:00:26+00:00
27,CUST-00000027,First00000027,Last00000027,customer00000027@example.com,2026-08-01T00:00:27+00:00,2026-08-01T00:00:27+00:00
28,CUST-00000028,First00000028,Last00000028,customer00000028@example.com,2026-08-01T00:00:28+00:00,2026-08-01T00:00:28+00:00
29,CUST-00000029,First00000029,Last00000029,customer00000029@example.com,2026-08-01T00:00:29+00:00,2026-08-01T00:00:29+00:00
30,CUST-00000030,First00000030,Last00000030,customer00000030@example.com,2026-08-01T00:00:30+00:00,2026-08-01T00:00:30+00:00
31,CUST-00000031,First00000031,Last00000031,customer00000031@example.com,2026-08-01T00:00:31+00:00,2026-08-01T00:00:31+00:00
32,CUST-00000032,First00000032,Last00000032,customer00000032@example.com,2026-08-01T00:00:32+00:00,2026-08-01T00:00:32+00:00
33,CUST-00000033,First00000033,Last00000033,customer00000033@example.com,2026-08-01T00:00:33+00:00,2026-08-01T00:00:33+00:00
34,CUST-00000034,First00000034,Last00000034,customer00000034@example.com,2026-08-01T00:00:34+00:00,2026-08-01T00:00:34+00:00
35,CUST-00000035,First00000035,Last00000035,customer00000035@example.com,2026-08-01T00:00:35+00:00,2026-08-01T00:00:35+00:00
36,CUST-00000036,First00000036,Last00000036,customer00000036@example.com,2026-08-01T00:00:36+00:00,2026-08-01T00:00:36+00:00
37,CUST-00000037,First00000037,Last00000037,customer00000037@example.com,2026-08-01T00:00:37+00:00,2026-08-01T00:00:37+00:00
38,CUST-00000038,First00000038,Last00000038,customer00000038@example.com,2026-08-01T00:00:38+00:00,2026-08-01T00:00:38+00:00
39,CUST-00000039,First00000039,Last00000039,customer00000039@example.com,2026-08-01T00:00:39+00:00,2026-08-01T00:00:39+00:00
40,CUST-00000040,First00000040,Last00000040,customer00000040@example.com,2026-08-01T00:00:40+00:00,2026-08-01T00:00:40+00:00
41,CUST-00000041,First00000041,Last00000041,customer00000041@example.com,2026-08-01T00:00:41+00:00,2026-08-01T00:00:41+00:00
42,CUST-00000042,First00000042,Last00000042,customer00000042@example.com,2026-08-01T00:00:42+00:00,2026-08-01T00:00:42+00:00
43,CUST-00000043,First00000043,Last00000043,customer00000043@example.com,2026-08-01T00:00:43+00:00,2026-08-01T00:00:43+00:00
